run_id,stream_id,simulation_tag,sweep_tag,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,bootstrap_seed,null_seed,lambda_qut,map_estimator,map_status,similarity_method,profile_support_sectors,off_profile_sectors,recovered_background_level,light_leakage_exponent,moderate_leakage_exponent,whole_grid_cosine,support_cosine,outside_energy_fraction,lightly_penalized_whole_grid_cosine,moderately_penalized_whole_grid_cosine,recovered_support_energy,recovered_outside_energy,recovered_dynamic_range,error
high_y_side__quarter_4__b100_p01000_s200,high_y_side__quarter_4__p01000_s200,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_4,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,2157421387,3807758292,17.509945908040315,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.060075439512729645,0.5,1.0,0.9830383066874139,0.9999714635465088,0.03358053200372292,0.9663918898120758,0.9500273573688116,1.8825287274832172,0.0654129167247089,0.23281364925205705,
high_y_side__quarter_4__b050_p01000_s250,high_y_side__quarter_4__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_4,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,2162539403,2487036553,17.21840796137327,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.0625927746295929,0.5,1.0,0.9799908567178274,0.9999560588795872,0.03953351465697903,0.9604242813695362,0.9412483738200677,1.9144265672899325,0.07879922091257231,0.23590467125177383,
high_y_side__quarter_4__b100_p01000_s250,high_y_side__quarter_4__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_4,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,2162539403,2487036553,17.21840796137327,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.061365360394120216,0.5,1.0,0.9808346361250394,0.9999465033630512,0.037860476873472965,0.9620880518977639,0.9436997690673261,1.8776170787707585,0.07388479142508912,0.23329652063548564,
high_y_side__quarter_4__b050_p02500_s250,high_y_side__quarter_4__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_4,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,3709580814,1922028992,25.40414214978609,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.07378055527806282,0.5,1.0,0.9474569416180648,0.9914056647753121,0.08669429207906992,0.9054564525044368,0.865317832789086,2.509057910180712,0.23816888192199867,0.2765788845717907,
high_y_side__quarter_4__b100_p02500_s250,high_y_side__quarter_4__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_4,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,3709580814,1922028992,25.40414214978609,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.07319366186857224,0.5,1.0,0.950383838278374,0.9920855544822256,0.08230189989374205,0.9104350284912017,0.8721654427597569,2.5192499323136417,0.22593384002057595,0.2769539561122656,
low_y_side__full_game__b500_p01000_s100,low_y_side__full_game__p01000_s100,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,low_y_side,full_game,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,1920414983,2270077150,16.3782028540763,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.046314992010593414,0.5,1.0,0.9950905879228179,0.995650082761042,0.0011235626790180573,0.9945314074866908,0.9939725412759857,1.8276832385147728,0.002055826525821005,0.2407829612493515,
low_y_side__full_game__b100_p01000_s200,low_y_side__full_game__p01000_s200,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,low_y_side,full_game,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,2842462570,2554669381,16.02005600740836,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.045764390379190445,0.5,1.0,0.9963371582652775,0.9974724973587477,0.0022751363389956186,0.9952031114328579,0.9940703553906166,1.689128938355775,0.003851761912398371,0.23096018098294735,
low_y_side__full_game__b050_p01000_s250,low_y_side__full_game__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,low_y_side,full_game,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,2271573849,168242307,16.1166800751224,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04700261913239956,0.5,1.0,0.9979213876079145,0.9987583350770006,0.0016752737148701504,0.9970851414907385,0.9962495961377481,1.6826716239963144,0.0028236659557942106,0.22647771425545216,
low_y_side__full_game__b100_p01000_s250,low_y_side__full_game__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,low_y_side,full_game,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,2271573849,168242307,16.1166800751224,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04646957293152809,0.5,1.0,0.9967365392129849,0.997840798138005,0.002212072133935339,0.9956335023143399,0.9945316860897166,1.6543846064342123,0.0036677313730698324,0.2256778571754694,
low_y_side__full_game__b050_p02500_s250,low_y_side__full_game__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,low_y_side,full_game,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,2735250012,1214168332,28.76899816306081,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.052351098507642746,0.5,1.0,0.9912480008883902,0.9950636382262177,0.007654428389606051,0.9874469948643143,0.9836605640492498,1.949285441752851,0.015035755941939968,0.25218095630407333,
