performance_rank,ranking_method,config_key,n_bootstraps,possessions_per_bootstrap,samples_per_possession,n_profile_scope_results,n_profiles,n_scopes,mean_penalized_profile_cosine,median_penalized_profile_cosine,minimum_penalized_profile_cosine,maximum_penalized_profile_cosine,mean_support_cosine,mean_outside_energy_fraction,mean_recovered_dynamic_range,qut_rejection_rate,mean_p_value,mean_lambda_qut,mean_lambda_max_obs,mean_lambda_ci_width,mean_lambda_bootstrap_std,expected_profile_scope_results,coverage_fraction,complete_coverage
20,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s050,100,1000,50,20,4,5,0.8976469654532057,0.9235235934178474,0.7310783469329714,0.9831183915162632,0.9428152692907321,0.09257661361737693,0.2463045584200881,1.0,0.0,12.64090385561406,45.96271706188015,13.950207079895772,3.8017447153042148,20,1.0,True
21,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b010_p01000_s050,10,1000,50,20,4,5,0.8969996294114875,0.9180959835371778,0.7112883938290645,0.9889752959382262,0.9426246794956997,0.09385059087898143,0.24430818969500248,1.0,0.0,12.64090385561406,45.96271706188015,11.318468295938413,3.887613221038238,20,1.0,True
22,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s050,50,1000,50,20,4,5,0.8963503128497413,0.9242310897057043,0.724091689917384,0.9813096801925659,0.9420986053183256,0.09364748591427068,0.24614004932809616,1.0,0.0,12.64090385561406,45.96271706188015,13.438249081552417,3.8236872033432747,20,1.0,True
23,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p00100_s150,100,100,150,20,4,5,0.8716155199817097,0.9013498486059919,0.6598482653696512,0.9893884395928265,0.9205548581535838,0.10731223265204634,0.06666595685470383,0.8,0.0365,4.874637785702189,7.102113645092885,5.243434378251559,1.3986493262926316,20,1.0,True
24,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p00100_s250,100,100,250,20,4,5,0.8647426387997118,0.8919789904512638,0.648337712608088,0.9919848352253634,0.9122629151196746,0.10636681677977514,0.0677567806441948,0.75,0.1365,5.1962280185366705,7.162758431073309,5.573022411707295,1.4767275706256595,20,1.0,True
25,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p00100_s150,50,100,150,20,4,5,0.8632588114477041,0.903075026495819,0.6517639383090745,0.9926498979364852,0.9167056073499161,0.11690566707072658,0.06790043739427347,0.8,0.0365,4.874637785702189,7.102113645092885,4.969647120174733,1.417185043012584,20,1.0,True
26,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p00100_s050,100,100,50,20,4,5,0.8611106594008818,0.8921247403699999,0.6388548369131014,0.983925327251683,0.9202267297634099,0.12803794320421255,0.06197451923741028,0.8,0.0825,4.228375662642167,5.470324433208317,4.09483098090722,1.098299930408898,20,1.0,True
27,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p00100_s100,100,100,100,20,4,5,0.8594313711491426,0.9083942233240678,0.5837961458500628,0.9902619551137869,0.9105592813739436,0.11377048498047719,0.06631655646906438,0.75,0.0705,4.69208213265024,6.014368671741275,4.88578345986038,1.2877547720907396,20,1.0,True
28,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p10000_s250,100,10000,250,20,4,5,0.8583897430808187,0.8665544190657749,0.7259761734624834,0.9818485176545059,0.9364567200496854,0.1577267266522909,0.36311768919229487,1.0,0.0,53.2736123808412,684.1014203621869,65.14634766930143,17.292875268058236,20,1.0,True
29,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p00100_s200,50,100,200,20,4,5,0.8575272787626457,0.8864126737928346,0.6264812669393803,0.9917127819808912,0.9064833831417529,0.11107645593568875,0.06864830219870782,0.9,0.026500000000000003,5.165427318375035,7.564626114462269,4.942511714321215,1.3643616273442318,20,1.0,True
