run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
reference__quarter_4__b100_p00100_s100,reference__quarter_4__p00100_s100,reference,quarter_4,31,b100_p00100_s100,p00100_s100,full_factorial_nested_prefix,100,100,100,False,False,2016640081,3566718444,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,63.98589649999303,4.4300165639616615,5.368306613448461,4.125148802038205,9.489225606944638,5.364076804906433,6.563786267083323,1.4231013908761116,100,100,0.0,True,
reference__quarter_1__b010_p00100_s150,reference__quarter_1__p00100_s150,reference,quarter_1,2,b010_p00100_s150,p00100_s150,full_factorial_nested_prefix,10,100,150,False,False,3271144373,655731462,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,8.753900300001987,4.19644120779321,4.753446951408276,4.9716721678101,8.103874098284424,3.132201930474324,6.796194795856147,1.0317200292130675,10,10,0.02,True,
reference__quarter_1__b050_p00100_s150,reference__quarter_1__p00100_s150,reference,quarter_1,17,b050_p00100_s150,p00100_s150,full_factorial_nested_prefix,50,100,150,False,False,3271144373,655731462,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,26.272371800007026,4.19644120779321,4.753446951408276,4.981148353470568,9.695497536192969,4.714349182722399,7.049102283314242,1.300207158201648,50,50,0.02,True,
reference__quarter_1__b100_p00100_s150,reference__quarter_1__p00100_s150,reference,quarter_1,32,b100_p00100_s150,p00100_s150,full_factorial_nested_prefix,100,100,150,False,False,3271144373,655731462,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,45.01181620000534,4.19644120779321,4.753446951408276,4.811209172610269,9.686626915488032,4.875417742877763,6.936821274706052,1.3162361805601557,100,100,0.02,True,
reference__quarter_2__b010_p00100_s150,reference__quarter_2__p00100_s150,reference,quarter_2,2,b010_p00100_s150,p00100_s150,full_factorial_nested_prefix,10,100,150,False,False,4028150633,3643849111,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,9.50036789999831,4.310176250169788,6.34837730363738,4.514979981607535,7.801578807624064,3.2865988260165286,6.3440708033367565,0.9948400651133592,10,10,0.0,True,
reference__quarter_2__b050_p00100_s150,reference__quarter_2__p00100_s150,reference,quarter_2,17,b050_p00100_s150,p00100_s150,full_factorial_nested_prefix,50,100,150,False,False,4028150633,3643849111,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,26.45690010000726,4.310176250169788,6.34837730363738,3.703925221834846,9.087946188913875,5.38402096707903,6.401538615952973,1.437111587362525,50,50,0.0,True,
reference__quarter_2__b100_p00100_s150,reference__quarter_2__p00100_s150,reference,quarter_2,32,b100_p00100_s150,p00100_s150,full_factorial_nested_prefix,100,100,150,False,False,4028150633,3643849111,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,46.0978432000029,4.310176250169788,6.34837730363738,3.529227350148971,8.837871372255464,5.308644022106493,5.902982380921012,1.425944423479386,100,100,0.0,True,
reference__quarter_3__b010_p00100_s150,reference__quarter_3__p00100_s150,reference,quarter_3,2,b010_p00100_s150,p00100_s150,full_factorial_nested_prefix,10,100,150,False,False,2007200118,2952112660,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,8.800201100002596,5.365775937505548,5.137624394622894,3.859930001511609,9.495870429601544,5.635940428089937,6.006414257991067,1.921175513572487,10,10,0.1,False,
reference__quarter_3__b050_p00100_s150,reference__quarter_3__p00100_s150,reference,quarter_3,17,b050_p00100_s150,p00100_s150,full_factorial_nested_prefix,50,100,150,False,False,2007200118,2952112660,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,26.38829290000467,5.365775937505548,5.137624394622894,3.6311612113483887,8.89665318603451,5.265491974686121,5.959609816113665,1.543809283508518,50,50,0.1,False,
reference__quarter_3__b100_p00100_s150,reference__quarter_3__p00100_s150,reference,quarter_3,32,b100_p00100_s150,p00100_s150,full_factorial_nested_prefix,100,100,150,False,False,2007200118,2952112660,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,45.14766700000291,5.365775937505548,5.137624394622894,3.2832998035787258,9.279023128676563,5.9957233250978375,5.927782879671852,1.582850599307842,100,100,0.1,False,
reference__quarter_4__b010_p00100_s150,reference__quarter_4__p00100_s150,reference,quarter_4,2,b010_p00100_s150,p00100_s150,full_factorial_nested_prefix,10,100,150,False,False,1182809535,1090545078,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,9.096824100000958,4.721273932227006,6.828749819482785,4.601315679594197,8.041793447384297,3.4404777677900995,6.326712890949226,1.131068761849733,10,10,0.0,True,
