"run_id","simulation_tag","simulated_games","method","gam_method","basis_id","basis_k","profile","scope","config_key","n_bootstraps","possessions_per_bootstrap","samples_per_possession","map_estimator","map_status","similarity_method","profile_support_sectors","off_profile_sectors","recovered_background_level","light_leakage_exponent","moderate_leakage_exponent","whole_grid_cosine","support_cosine","outside_energy_fraction","lightly_penalized_whole_grid_cosine","moderately_penalized_whole_grid_cosine","recovered_support_energy","recovered_outside_energy","recovered_dynamic_range"
"high_y_side__full_game__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","full_game","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0537657463165501,0.5,1,0.725987907437239,0.96216868774141,0.430680138598264,0.54778174395003,0.413319334841505,2.70531172064431,2.04651919911932,0.426597704268666
"high_y_side__full_game__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","full_game","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0503403942107349,0.5,1,0.736612953611426,0.961745927218524,0.413378478550237,0.564180859073044,0.432113011567138,2.53768972012722,1.7882506474468,0.405577354731467
"high_y_side__quarter_1__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_1","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0393178431212212,0.5,1,0.503207156282721,0.940754288376975,0.713884619785337,0.269164270907553,0.14397530684657,2.23977621306734,5.58845102654105,0.616530938059297
"high_y_side__quarter_1__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_1","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.043353680794388,0.5,1,0.519354844022112,0.946822169311171,0.699121235547895,0.284878684458207,0.156262843781589,2.43721890795348,5.6631164958814,0.614023670674239
"high_y_side__quarter_1__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_1","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0418760201005115,0.5,1,0.505289179514582,0.940938494110183,0.711625055284798,0.27134308621943,0.145712739207708,2.28868246473951,5.64779921191863,0.616756435497304
"high_y_side__quarter_1__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_1","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0459928865475368,0.5,1,0.51789448914622,0.950322478687507,0.703010855477813,0.282235459965607,0.153809041284291,2.57242007417939,6.08924356446316,0.622690464504044
"high_y_side__quarter_1__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_1","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0380466235268808,0.5,1,0.496768889889139,0.94479551168071,0.72353946902316,0.261198668823784,0.137336991071527,2.31291163371849,6.05324329460382,0.615108873259569
"high_y_side__quarter_2__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_2","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0556535069285272,0.5,1,0.695903624519964,0.903549575841818,0.40680944938775,0.535977070399073,0.412803454202057,4.8871867592855,3.35162748723493,0.666081524763754
"high_y_side__quarter_2__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_2","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0546098333262758,0.5,1,0.742831414825593,0.904294877176171,0.32522282619345,0.610197541508678,0.501245682710734,4.63593705606422,2.23438582387553,0.605834703129316
"high_y_side__quarter_2__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","quarter_2","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0500133608891301,0.5,1,0.692336970148794,0.897229138630098,0.404573296946136,0.534234187898378,0.412235919537998,4.80266053699135,3.26325339054859,0.671843739671792
