Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
5090,1,523.88,58.39507,45.9745,4.4232,525.0,517.0,100000,1,12,9
5427,1,521.56,65.22587,45.21097,3.84848,525.0,517.0,100000,1,13,9
5365,1,524.04,57.66789,46.11626,4.2696,525.0,517.0,100000,1,12,9
5244,1,520.88,76.33682,33.79258,13.2079,525.0,517.0,100000,1,16,6
5135,1,522.08,62.48481,46.1,2.0567,525.0,517.0,100000,1,13,9
5306,1,518.4,90.13768,29.09131,4.25247,525.0,517.0,100000,1,19,5
5150,1,524.64,55.19101,45.70794,3.90955,525.0,517.0,100000,1,11,9
60582,3,315.28,14.44649,39.03137,6.76861,324.0,314.0,100001,0,3,7
60377,3,323.48,65.25894,11.70578,1.23412,324.0,314.0,100001,0,13,2
60207,3,318.68,27.815,9.19613,0.44223,324.0,314.0,100001,0,5,1
60188,3,319.44,25.18944,7.09909,1.13091,324.0,314.0,100001,0,5,1
60356,3,318.52,28.74758,9.19218,2.71225,324.0,314.0,100001,0,6,1
60581,3,315.32,14.12323,38.87511,7.19801,324.0,314.0,100001,0,3,7
60477,3,319.48,24.94713,7.08054,1.842,324.0,314.0,100001,0,5,1
60401,3,322.52,48.12098,11.39661,3.61823,324.0,314.0,100001,0,10,2
60589,3,315.0,16.61047,39.60763,3.31582,324.0,314.0,100001,0,3,7
60298,3,320.84,22.38848,10.4985,3.15969,324.0,314.0,100001,0,4,2
60535,3,317.16,28.45802,23.8941,0.70615,324.0,314.0,100001,0,6,4
60400,3,322.56,49.12434,11.70554,2.68898,324.0,314.0,100001,0,10,2
60289,3,321.2,26.10399,11.02643,0.61087,324.0,314.0,100001,0,5,2
60245,3,322.96,57.12595,12.2365,3.07019,324.0,314.0,100001,0,12,2
60286,3,321.32,28.22676,11.46758,2.93713,324.0,314.0,100001,0,6,2
60472,3,319.68,24.2523,6.34187,3.81991,324.0,314.0,100001,0,5,1
60583,3,315.24,14.76779,39.12903,6.41327,324.0,314.0,100001,0,3,7
60299,3,320.8,21.88813,10.46822,2.51469,324.0,314.0,100001,0,4,2
60272,3,321.88,37.10156,11.99314,0.83704,324.0,314.0,100001,0,7,2
60203,3,318.84,26.70235,8.62215,3.0052,324.0,314.0,100001,0,5,1
