,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
25312,1,49.42,31.4571,26.70139,3.66007,51.0,35.0,27,0,6,5
25313,1,49.38,31.82524,26.64704,3.8665,51.0,35.0,27,0,6,5
25314,1,49.34,32.13012,26.63641,3.80539,51.0,35.0,27,0,6,5
25315,1,49.3,32.59632,26.73724,3.9099,51.0,35.0,27,0,6,5
25316,1,49.26,33.14829,26.85002,3.90999,51.0,35.0,27,0,7,5
25317,1,49.22,33.85829,27.011,4.11755,51.0,35.0,27,0,7,5
25318,1,49.18,34.40062,27.12463,3.84215,51.0,35.0,27,0,7,5
25319,1,49.14,35.18108,27.27307,3.36371,51.0,35.0,27,0,7,5
25320,1,49.1,35.98615,27.48788,2.80239,51.0,35.0,27,0,7,5
25321,1,49.06,36.61194,27.58751,2.09583,51.0,35.0,27,0,7,5
25322,1,49.02,37.31847,27.67364,1.33713,51.0,35.0,27,0,7,5
25323,1,48.98,38.14864,27.93099,0.60215,51.0,35.0,27,0,8,5
25324,1,48.94,38.53457,28.03051,0.66675,51.0,35.0,27,0,8,5
25325,1,48.9,39.02545,28.17873,1.29207,51.0,35.0,27,0,8,5
25326,1,48.86,39.42198,28.40965,1.72642,51.0,35.0,27,0,8,5
25327,1,48.82,39.84218,28.42203,2.46651,51.0,35.0,27,0,8,5
25328,1,48.78,40.21884,28.45251,2.83348,51.0,35.0,27,0,8,5
25329,1,48.74,40.73347,28.6772,3.37658,51.0,35.0,27,0,8,5
25330,1,48.7,40.89391,28.52478,3.8563,51.0,35.0,27,0,8,5
25331,1,48.66,41.40757,28.65409,4.08992,51.0,35.0,27,0,8,5
25332,1,48.62,41.71019,28.8578,4.17009,51.0,35.0,27,0,8,5
25333,1,48.58,42.20423,29.05755,4.40429,51.0,35.0,27,0,8,5
25334,1,48.54,42.45356,29.03996,4.26287,51.0,35.0,27,0,9,5
25335,1,48.5,42.87253,28.80445,4.65861,51.0,35.0,27,0,9,5
25336,1,48.46,43.37516,28.98321,3.99058,51.0,35.0,27,0,9,5
25337,1,48.42,43.89861,28.8237,3.49828,51.0,35.0,27,0,9,5
25338,1,48.38,44.47347,28.63676,2.86086,51.0,35.0,27,0,9,5
25339,1,48.34,45.02678,28.55453,2.24917,51.0,35.0,27,0,9,5
25340,1,48.3,45.51782,28.4788,1.61846,51.0,35.0,27,0,9,5
25341,1,48.26,45.82416,28.20102,0.67857,51.0,35.0,27,0,9,5
25342,1,48.22,46.27486,28.02719,0.45165,51.0,35.0,27,0,9,5
25343,1,48.18,46.52475,27.98563,1.21973,51.0,35.0,27,0,9,5
25344,1,48.14,46.84811,27.99201,1.80997,51.0,35.0,27,0,9,5
25345,1,48.1,47.03987,27.83169,2.25568,51.0,35.0,27,0,10,5
25346,1,48.06,47.43772,27.90778,2.72605,51.0,35.0,27,0,10,5
25347,1,48.02,47.54066,27.56047,3.2522,51.0,35.0,27,0,10,5
25348,1,47.98,47.74021,27.59858,3.55976,51.0,35.0,27,0,10,5
25349,1,47.94,48.13554,27.56491,4.00459,51.0,35.0,27,0,10,5
25350,1,47.9,48.3677,27.49438,4.1532,51.0,35.0,27,0,10,5
25351,1,47.86,48.56175,27.30451,4.33718,51.0,35.0,27,0,10,5
25352,1,47.82,48.91828,27.29889,4.57891,51.0,35.0,27,0,10,5
25353,1,47.78,49.09646,27.23085,4.64592,51.0,35.0,27,0,10,5
25354,1,47.74,49.56935,27.26156,4.6608,51.0,35.0,27,0,10,5
25355,1,47.7,49.93724,27.3223,4.66535,51.0,35.0,27,0,10,5
25356,1,47.66,50.3482,27.31023,4.50036,51.0,35.0,27,0,10,5
25357,1,47.62,50.59437,27.13967,4.722,51.0,35.0,27,0,10,5
25358,1,47.58,49.83996,29.34146,4.32696,51.0,35.0,27,0,10,5
25359,1,47.54,50.05494,29.40923,4.19058,51.0,35.0,27,0,10,5
25360,1,47.5,50.3728,29.5904,4.17201,51.0,35.0,27,0,10,5
25361,1,47.46,50.69248,29.52172,4.54622,51.0,35.0,27,0,10,5
25362,1,47.42,51.11189,29.57524,4.65423,51.0,35.0,27,0,10,5
25363,1,47.38,51.45066,29.66185,4.69515,51.0,35.0,27,0,10,5
25364,1,47.34,51.5795,29.72525,4.29326,51.0,35.0,27,0,10,5
25365,1,47.3,51.70621,29.52465,3.99615,51.0,35.0,27,0,11,5
25366,1,47.26,51.83816,29.14845,3.74706,51.0,35.0,27,0,11,5
25367,1,47.22,52.00484,28.93503,3.55607,51.0,35.0,27,0,11,5
25368,1,47.18,52.26772,28.92346,3.42955,51.0,35.0,27,0,11,5
25369,1,47.14,52.62049,28.72183,3.44561,51.0,35.0,27,0,11,5
25370,1,47.1,52.57907,28.13761,3.21291,51.0,35.0,27,0,11,5
25371,1,47.06,53.04645,28.17195,2.79875,51.0,35.0,27,0,11,5
25372,1,47.02,53.37071,28.08904,3.38553,51.0,35.0,27,0,11,5
25373,1,46.98,53.66162,27.99717,3.32334,51.0,35.0,27,0,11,5
25374,1,46.94,54.17789,27.95727,3.42906,51.0,35.0,27,0,11,5
25375,1,46.9,55.29181,27.15477,2.83567,51.0,35.0,27,0,11,5
25376,1,46.86,55.40473,27.24083,2.00401,51.0,35.0,27,0,11,5
25377,1,46.82,55.65664,27.08948,1.58559,51.0,35.0,27,0,11,5
25378,1,46.78,55.79322,27.09081,0.74464,51.0,35.0,27,0,11,5
25379,1,46.74,55.89105,27.03058,0.65047,51.0,35.0,27,0,11,5
25380,1,46.7,55.90035,26.94951,1.13175,51.0,35.0,27,0,11,5
25381,1,46.66,56.06166,26.91974,1.81551,51.0,35.0,27,0,11,5
25382,1,46.62,55.98832,26.99975,2.17871,51.0,35.0,27,0,11,5
25383,1,46.58,55.8081,27.10118,2.77704,51.0,35.0,27,0,11,5
25384,1,46.54,55.99733,27.10516,2.81464,51.0,35.0,27,0,11,5
25385,1,46.5,56.24917,26.72675,3.22939,51.0,35.0,27,0,11,5
25386,1,46.46,56.35487,26.68922,3.31841,51.0,35.0,27,0,11,5
25387,1,46.42,56.49459,26.63907,3.42024,51.0,35.0,27,0,12,5
25388,1,46.38,56.58248,26.45362,3.5796,51.0,35.0,27,0,12,5
25389,1,46.34,56.69711,26.42307,3.53773,51.0,35.0,27,0,12,5
25390,1,46.3,56.97208,26.29349,3.54867,51.0,35.0,27,0,12,5
25391,1,46.26,57.18908,26.21353,3.34692,51.0,35.0,27,0,12,5
25392,1,46.22,57.43995,25.99855,3.09565,51.0,35.0,27,0,12,5
25393,1,46.18,57.54794,25.69132,2.54198,51.0,35.0,27,0,12,5
25394,1,46.14,57.52798,25.65373,1.68471,51.0,35.0,27,0,12,5
25395,1,46.1,57.65176,25.5425,0.6313,51.0,35.0,27,0,12,5
25396,1,46.06,57.59358,25.49786,0.72463,51.0,35.0,27,0,12,5
25397,1,46.02,57.61364,25.37508,1.55203,51.0,35.0,27,0,12,5
25398,1,45.98,57.59274,25.38137,2.0395,51.0,35.0,27,0,12,5
25399,1,45.94,57.66187,25.10602,2.39119,51.0,35.0,27,0,12,5
25400,1,45.9,57.782,24.85921,2.91831,51.0,35.0,27,0,12,4
25401,1,45.86,57.92966,24.21845,3.29731,51.0,35.0,27,0,12,4
25402,1,45.82,58.26478,23.87118,3.72728,51.0,35.0,27,0,12,4
25403,1,45.78,58.531,23.1339,4.09885,51.0,35.0,27,0,12,4
25404,1,45.74,59.12117,21.83269,4.4501,51.0,35.0,27,0,12,4
25405,1,45.7,59.55793,21.15306,4.53668,51.0,35.0,27,0,12,4
25406,1,45.66,59.99102,20.2149,4.78181,51.0,35.0,27,0,12,4
25407,1,45.62,60.39173,19.53632,4.69482,51.0,35.0,27,0,12,3
25408,1,45.58,60.86005,18.71469,4.77597,51.0,35.0,27,0,12,3
25409,1,45.54,61.32871,17.87009,4.74896,51.0,35.0,27,0,13,3
25410,1,45.5,61.80986,16.754,4.88967,51.0,35.0,27,0,13,3
25411,1,45.46,62.20243,16.16417,4.60491,51.0,35.0,27,0,13,3
25412,1,45.42,62.62963,15.14836,4.60203,51.0,35.0,27,0,13,3
25413,1,45.38,63.10805,14.18595,4.47685,51.0,35.0,27,0,13,2
25414,1,45.34,63.02907,14.21488,3.86096,51.0,35.0,27,0,13,2
25415,1,45.3,62.78376,14.0017,3.93704,51.0,35.0,27,0,13,2
25416,1,45.26,62.38386,13.60578,4.07832,51.0,35.0,27,0,13,2
25417,1,45.22,61.98376,13.39259,4.15439,51.0,35.0,27,0,13,2
25418,1,45.18,61.59616,13.70841,4.12597,51.0,35.0,27,0,13,2
25419,1,45.14,61.28585,14.20996,4.09756,51.0,35.0,27,0,13,2
25420,1,45.1,61.14256,14.55621,4.3405,51.0,35.0,27,0,13,2
25421,1,45.06,60.91229,15.43621,4.19417,51.0,35.0,27,0,12,3
25422,1,45.02,60.91813,15.6488,4.66069,51.0,35.0,27,0,12,3
25423,1,44.98,60.92826,16.2127,4.50541,51.0,35.0,27,0,12,3
25424,1,44.94,60.92726,16.45263,4.60158,51.0,35.0,27,0,12,3
25425,1,44.9,60.8875,16.84566,4.65065,51.0,35.0,27,0,12,3
25426,1,44.86,61.05193,17.1343,4.65913,51.0,35.0,27,0,12,3
25427,1,44.82,60.93376,17.20287,4.66517,51.0,35.0,27,0,12,3
25428,1,44.78,61.0949,17.26319,4.51697,51.0,35.0,27,0,12,3
25429,1,44.74,61.2366,17.23047,4.27425,51.0,35.0,27,0,13,3
25430,1,44.7,61.312,17.19775,4.07495,51.0,35.0,27,0,13,3
25431,1,44.66,61.30463,17.29703,3.99926,51.0,35.0,27,0,13,3
25432,1,44.62,61.25308,17.52854,3.96697,51.0,35.0,27,0,13,3
25433,1,44.58,61.19099,17.71876,3.90467,51.0,35.0,27,0,13,3
25434,1,44.54,61.1181,17.88272,3.81027,51.0,35.0,27,0,13,3
25435,1,44.5,61.03749,18.02727,3.68958,51.0,35.0,27,0,12,3
25436,1,44.46,60.95225,18.15926,3.54838,51.0,35.0,27,0,12,3
25437,1,44.42,60.86547,18.28556,3.39246,51.0,35.0,27,0,12,3
25438,1,44.38,60.78025,18.413,3.22761,51.0,35.0,27,0,12,3
25439,1,44.34,60.69966,18.54846,3.05961,51.0,35.0,27,0,12,3
25440,1,44.3,60.62679,18.69879,2.89425,51.0,35.0,27,0,12,3
25441,1,44.26,60.56475,18.87084,2.73733,51.0,35.0,27,0,12,3
25442,1,44.22,60.5166,19.07146,2.59462,51.0,35.0,27,0,12,3
25443,1,44.18,60.48545,19.30751,2.47192,51.0,35.0,27,0,12,3
25444,1,44.14,60.47438,19.58586,2.37502,51.0,35.0,27,0,12,3
25445,1,44.1,60.48126,20.11131,2.30739,51.0,35.0,27,0,12,4
25446,1,44.06,60.45349,20.72135,2.37643,51.0,35.0,27,0,12,4
25447,1,44.02,60.34638,21.33681,2.40717,51.0,35.0,27,0,12,4
25448,1,43.98,60.29731,21.92668,2.26803,51.0,35.0,27,0,12,4
25449,1,43.94,60.2206,22.58411,2.04465,51.0,35.0,27,0,12,4
25450,1,43.9,59.61117,23.64474,1.6991,51.0,35.0,27,0,12,4
25451,1,43.86,59.46578,23.96379,0.58189,51.0,35.0,27,0,12,4
25452,1,43.82,59.34083,24.16803,0.48094,51.0,35.0,27,0,12,4
25453,1,43.78,60.00313,23.74949,0.58961,51.0,35.0,27,0,12,4
25454,1,43.74,59.71932,23.95405,1.03771,51.0,35.0,27,0,12,4
25455,1,43.7,59.55034,24.47003,0.99894,51.0,35.0,27,0,12,4
25456,1,43.66,59.42208,25.14298,0.92694,51.0,35.0,27,0,12,5
25457,1,43.62,59.37118,25.47741,0.88817,51.0,35.0,27,0,12,5
25458,1,43.58,59.37566,25.45961,1.10077,51.0,35.0,27,0,12,5
25459,1,43.54,59.08719,24.87886,1.47427,51.0,35.0,27,0,12,4
25460,1,43.5,58.26467,23.67532,3.11382,51.0,35.0,27,0,12,4
25461,1,43.46,58.37154,23.55267,3.13318,51.0,35.0,27,0,12,4
25462,1,43.42,58.51282,23.39297,3.11812,51.0,35.0,27,0,12,4
25463,1,43.38,58.55908,23.21237,2.77401,51.0,35.0,27,0,12,4
25464,1,43.34,58.65029,23.1516,2.36141,51.0,35.0,27,0,12,4
25465,1,43.3,58.83724,23.01777,1.65657,51.0,35.0,27,0,12,4
25466,1,43.26,58.87948,22.79048,0.97613,51.0,35.0,27,0,12,4
25467,1,43.22,59.09993,22.75633,0.0945,51.0,35.0,27,0,12,4
25468,1,43.18,59.33444,22.76143,0.97542,51.0,35.0,27,0,12,4
25469,1,43.14,59.44512,22.70975,1.52963,51.0,35.0,27,0,12,4
25470,1,43.1,59.62152,22.52511,1.92511,51.0,35.0,27,0,12,4
25471,1,43.06,59.86931,22.42897,2.28101,51.0,35.0,27,0,12,4
25472,1,43.02,60.12668,22.25052,2.46355,51.0,35.0,27,0,12,4
25473,1,42.98,60.56436,22.08282,2.49564,51.0,35.0,27,0,12,4
25474,1,42.94,60.88721,21.87398,2.37905,51.0,35.0,27,0,12,4
25475,1,42.9,61.39844,21.46073,2.4431,51.0,35.0,27,0,13,4
25476,1,42.86,62.06937,21.08107,2.36641,51.0,35.0,27,0,13,4
25477,1,42.82,62.74169,20.65505,2.68828,51.0,35.0,27,0,13,4
25478,1,42.78,63.59802,20.66759,2.77163,51.0,35.0,27,0,13,4
25479,1,42.74,64.41342,20.59072,2.83191,51.0,35.0,27,0,13,4
25480,1,42.7,65.19714,20.44798,2.88092,51.0,35.0,27,0,13,4
25481,1,42.66,65.91139,20.37112,2.90115,51.0,35.0,27,0,14,4
25482,1,42.62,66.5196,20.38389,2.16981,51.0,35.0,27,0,14,4
25483,1,42.58,67.13075,20.23559,1.36021,51.0,35.0,27,0,14,4
25484,1,42.54,67.6776,20.16498,0.44391,51.0,35.0,27,0,14,4
25485,1,42.5,67.90895,20.03994,0.94996,51.0,35.0,27,0,14,4
25486,1,42.46,68.12403,19.99556,1.62775,51.0,35.0,27,0,14,3
25487,1,42.42,68.3537,19.94967,2.16551,51.0,35.0,27,0,14,3
25488,1,42.38,68.5808,19.82361,2.66479,51.0,35.0,27,0,14,3
25489,1,42.34,69.07621,19.88488,2.96119,51.0,35.0,27,0,14,3
25490,1,42.3,69.73693,20.07665,3.02614,51.0,35.0,27,0,14,4
25491,1,42.26,70.50169,20.34498,2.99564,51.0,35.0,27,0,15,4
25492,1,42.22,71.30455,20.58421,2.83282,51.0,35.0,27,0,15,4
25493,1,42.18,72.13332,20.59032,2.51794,51.0,35.0,27,0,15,4
25494,1,42.14,72.94118,20.75745,1.86434,51.0,35.0,27,0,15,4
25495,1,42.1,73.4725,20.6491,1.72166,51.0,35.0,27,0,15,4
25496,1,42.06,74.57,21.06977,1.36607,51.0,35.0,27,0,15,4
25497,1,42.02,75.481,21.7172,1.10422,51.0,35.0,27,0,16,4
25498,1,41.98,75.67241,22.12193,1.46672,51.0,35.0,27,0,16,4
25499,1,41.94,75.94506,22.37561,2.00209,51.0,35.0,27,0,16,4
25500,1,41.9,75.86008,22.08566,2.46008,51.0,35.0,27,0,16,4
25501,1,41.86,76.13132,22.51146,2.09341,51.0,35.0,27,0,16,4
25502,1,41.82,76.65724,23.0524,1.72675,51.0,35.0,27,0,16,4
25503,1,41.78,77.334,22.88885,2.86042,51.0,35.0,27,0,16,4
25504,1,41.74,77.48893,24.2489,2.85841,51.0,35.0,27,0,16,4
25505,1,41.7,77.89786,24.99569,2.85157,51.0,35.0,27,0,16,4
25506,1,41.66,78.47703,25.22364,2.83869,51.0,35.0,27,0,16,5
25507,1,41.62,79.69784,24.77542,2.68612,51.0,35.0,27,0,16,4
25508,1,41.58,80.24394,25.09981,2.55271,51.0,35.0,27,0,17,5
25509,1,41.54,80.25669,25.12145,2.1901,51.0,35.0,27,0,17,5
25510,1,41.5,80.26065,25.12912,1.59945,51.0,35.0,27,0,17,5
25511,1,41.46,80.27341,25.15064,0.94393,51.0,35.0,27,0,17,5
25512,1,41.42,80.84388,25.45498,0.21605,51.0,35.0,27,0,17,5
25513,1,41.38,80.97004,24.52791,1.70546,51.0,35.0,27,0,17,4
25514,1,41.34,81.65067,25.69614,0.23068,51.0,35.0,27,0,17,5
25515,1,41.3,82.06689,24.80197,1.17247,51.0,35.0,27,0,17,4
25516,1,41.26,82.12167,25.23552,0.67249,51.0,35.0,27,0,17,5
25517,1,41.22,82.16149,25.66906,0.17251,51.0,35.0,27,0,17,5
25518,1,41.18,82.24818,25.53725,0.42608,51.0,35.0,27,0,17,5
25519,1,41.14,82.378,25.48575,0.57369,51.0,35.0,27,0,17,5
