run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
high_y_side__quarter_3__b100_p02500_s250,high_y_side__quarter_3__p02500_s250,high_y_side,quarter_3,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,False,False,3975477869,3399767438,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,132.64990740000212,25.924883421096546,257.5221961256686,243.25271542667176,270.28827072929647,27.035555302624687,257.8883689949539,7.104299919120272,100,100,0.0,True,
high_y_side__quarter_3__b050_p01000_s250,high_y_side__quarter_3__p01000_s250,high_y_side,quarter_3,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,False,False,508326812,2037912379,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,36.34800439999526,17.810597061494093,103.3848019284922,91.17764379022384,113.31403386478952,22.136390074565654,102.04994739764057,6.1179530062727245,50,50,0.0,True,
high_y_side__quarter_3__b100_p01000_s250,high_y_side__quarter_3__p01000_s250,high_y_side,quarter_3,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,False,False,508326812,2037912379,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,69.87928390000161,17.810597061494093,103.3848019284922,93.32997738853592,111.75284808607472,18.42287069753881,102.5796254223431,5.19290610318328,100,100,0.0,True,
high_y_side__quarter_3__b100_p01000_s200,high_y_side__quarter_3__p01000_s200,high_y_side,quarter_3,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,True,False,4069831766,2189025611,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,68.51959389997137,19.140409917298687,102.63502649479,91.30211701947287,108.56859253831266,17.266475518839783,99.20274520771235,4.367334171182039,100,100,0.0,True,
high_y_side__quarter_4__b500_p01000_s100,high_y_side__quarter_4__p01000_s100,high_y_side,quarter_4,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,False,False,4207142198,3131187337,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,305.13196850001987,14.83961620793078,80.15536298342154,72.01938089940514,90.70654422505368,18.687163325648555,81.36592545190916,4.910548462943308,500,500,0.0,True,
high_y_side__quarter_4__b050_p02500_s250,high_y_side__quarter_4__p02500_s250,high_y_side,quarter_4,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,False,False,3709580814,1922028992,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,65.6065362999907,25.40414214978609,237.7011135055077,223.81841451125416,257.3910188376988,33.57260432644466,239.66395842543136,10.154427020361863,50,50,0.0,True,
high_y_side__quarter_4__b100_p02500_s250,high_y_side__quarter_4__p02500_s250,high_y_side,quarter_4,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,False,False,3709580814,1922028992,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,128.24122180000268,25.40414214978609,237.7011135055077,223.99575039914805,258.1480370965253,34.152286697377235,240.5404380368285,9.378487408292049,100,100,0.0,True,
high_y_side__quarter_4__b050_p01000_s250,high_y_side__quarter_4__p01000_s250,high_y_side,quarter_4,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,False,False,2162539403,2487036553,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,36.1572358999947,17.21840796137327,105.39565449243858,88.05842770976811,106.18920851623216,18.130780806464045,96.95414952697092,5.520282535578606,50,50,0.0,True,
high_y_side__quarter_4__b100_p01000_s250,high_y_side__quarter_4__p01000_s250,high_y_side,quarter_4,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,False,False,2162539403,2487036553,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,69.6428964999941,17.21840796137327,105.39565449243858,87.75168844670391,106.59727199395792,18.84558354725401,96.7157999250613,5.403660225221027,100,100,0.0,True,
high_y_side__quarter_4__b100_p01000_s200,high_y_side__quarter_4__p01000_s200,high_y_side,quarter_4,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,True,False,2157421387,3807758292,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,67.55371509999168,17.509945908040315,92.73752341271732,83.21068343568022,104.24670020943184,21.036016773751623,93.2288506686364,5.31499949419275,100,100,0.0,True,
