run_id,profile,scope,config_id,design,varied_parameter,varied_value,n_bootstraps,possessions_per_bootstrap,samples_per_possession,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,p_value,reject_qut,error,simulation_tag,run_seed
reference__quarter_4__config_05,reference,quarter_4,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,230,ok,120.7795674000008,51.53165272409747,699.9534403045188,674.2960964094023,743.4579316157898,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
reference__full_game__config_06,reference,full_game,6,one_factor_sweep,samples_per_possession,50.0,100,1000,50,920,ok,12.602273000000425,12.62163088612595,38.69193626092154,36.425145167095074,51.40687133886894,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,148
reference__quarter_1__config_06,reference,quarter_1,6,one_factor_sweep,samples_per_possession,50.0,100,1000,50,230,ok,12.47738290000052,13.624382822050505,52.10178933866183,46.67108524802463,59.73342228502926,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,148
reference__quarter_2__config_06,reference,quarter_2,6,one_factor_sweep,samples_per_possession,50.0,100,1000,50,230,ok,12.55678270000135,13.105307019533054,44.16658087918219,38.58760327542683,52.93124804494583,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,148
reference__quarter_3__config_06,reference,quarter_3,6,one_factor_sweep,samples_per_possession,50.0,100,1000,50,230,ok,12.531227000003128,14.213974512370855,38.08590077728565,33.977827635286395,49.78284730654767,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,148
reference__quarter_4__config_06,reference,quarter_4,6,one_factor_sweep,samples_per_possession,50.0,100,1000,50,230,ok,12.516033200001402,12.646264055454566,49.679551655239386,44.45079470175839,60.097543570619074,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,148
reference__full_game__config_07,reference,full_game,7,one_factor_sweep,samples_per_possession,100.0,100,1000,100,920,ok,13.88675769999827,14.445216467342128,57.84470369937969,47.4031188813617,64.75487306527171,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,149
reference__quarter_1__config_07,reference,quarter_1,7,one_factor_sweep,samples_per_possession,100.0,100,1000,100,230,ok,13.840418499999942,14.772374051862403,68.02802070500485,61.49447475498215,78.37103889951693,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,149
reference__quarter_2__config_07,reference,quarter_2,7,one_factor_sweep,samples_per_possession,100.0,100,1000,100,230,ok,13.912989899999957,13.937473979848132,54.61508726316549,46.69506873707193,66.70369781695483,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,149
reference__quarter_3__config_07,reference,quarter_3,7,one_factor_sweep,samples_per_possession,100.0,100,1000,100,230,ok,13.906792000001587,15.163887201333193,46.92428809376828,43.163122620227895,60.20559574179397,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,149
reference__quarter_4__config_07,reference,quarter_4,7,one_factor_sweep,samples_per_possession,100.0,100,1000,100,230,ok,13.800363400001515,14.185634737654055,56.88343071590014,54.39272687189197,72.82287532058506,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,149
