run_id,profile,scope,config_id,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,lambda_qut,map_status,spatial_correlation,standardized_rmse,recovered_dynamic_range,error
low_y_side__quarter_4__config_06,low_y_side,quarter_4,6,one_factor_sweep,100,1000,50,13.986596763257344,ok,0.6887327892166024,0.8352874204702675,0.34171445295214653,
low_y_side__full_game__config_07,low_y_side,full_game,7,one_factor_sweep,100,1000,100,15.326355296570163,ok,0.8545691025925963,0.5763170811006681,0.21947306767106056,
low_y_side__quarter_1__config_07,low_y_side,quarter_1,7,one_factor_sweep,100,1000,100,15.80973163816468,ok,0.7521398121431484,0.729928880969397,0.26617589965462685,
low_y_side__quarter_2__config_07,low_y_side,quarter_2,7,one_factor_sweep,100,1000,100,14.960525293256431,ok,0.8664382989091096,0.5681813770122203,0.2617379054427147,
low_y_side__quarter_3__config_07,low_y_side,quarter_3,7,one_factor_sweep,100,1000,100,15.146968264216362,ok,0.8457972970802853,0.5807821299423173,0.33375632017850876,
low_y_side__quarter_4__config_07,low_y_side,quarter_4,7,one_factor_sweep,100,1000,100,14.317607394446272,ok,0.7112378645327772,0.7945694581670222,0.3569852225482464,
low_y_side__full_game__config_08,low_y_side,full_game,8,one_factor_sweep,100,1000,150,16.744028719636812,ok,0.8832407734660271,0.5143792578156587,0.23836110904812813,
low_y_side__quarter_1__config_08,low_y_side,quarter_1,8,one_factor_sweep,100,1000,150,17.27828127344187,ok,0.7521398102183878,0.7299288817802051,0.24261989817023277,
low_y_side__quarter_2__config_08,low_y_side,quarter_2,8,one_factor_sweep,100,1000,150,16.106549164631318,ok,0.878973961568624,0.5360849747999956,0.264139287173748,
low_y_side__quarter_3__config_08,low_y_side,quarter_3,8,one_factor_sweep,100,1000,150,16.397885235938897,ok,0.8331382615740031,0.6122652105870963,0.2528429664671421,
low_y_side__quarter_4__config_08,low_y_side,quarter_4,8,one_factor_sweep,100,1000,150,16.006140788522508,ok,0.6933149394759442,0.8424543371162728,0.34743404388427734,
low_y_side__full_game__config_09,low_y_side,full_game,9,one_factor_sweep,100,1000,250,18.271122794582343,ok,0.8820962976836149,0.5173541003395263,0.2506333477795124,
low_y_side__quarter_1__config_09,low_y_side,quarter_1,9,one_factor_sweep,100,1000,250,17.064829236688862,ok,0.7521078990598927,0.7300557426712628,0.26190444082021713,
low_y_side__quarter_2__config_09,low_y_side,quarter_2,9,one_factor_sweep,100,1000,250,19.10515770112781,ok,0.9031513293263461,0.47376934287770167,0.20665307343006134,
low_y_side__quarter_3__config_09,low_y_side,quarter_3,9,one_factor_sweep,100,1000,250,17.288761729471005,ok,0.8437035045242447,0.5944313648328136,0.24450788274407387,
low_y_side__quarter_4__config_09,low_y_side,quarter_4,9,one_factor_sweep,100,1000,250,17.668255412412513,ok,0.6415926575024948,0.8838408755982207,0.32804733142256737,
low_y_side__full_game__config_10,low_y_side,full_game,10,individual_profile_like,100,10000,150,49.511301233775,ok,0.8348102419184888,0.6003073752675674,0.36351507157087326,
low_y_side__quarter_1__config_10,low_y_side,quarter_1,10,individual_profile_like,100,10000,150,53.15236524655568,ok,0.6571049147644268,0.8381162535235752,0.4265298694372177,
low_y_side__quarter_2__config_10,low_y_side,quarter_2,10,individual_profile_like,100,10000,150,46.43039958776104,ok,0.8522126403448982,0.5621569342555937,0.4323450028896332,
low_y_side__quarter_3__config_10,low_y_side,quarter_3,10,individual_profile_like,100,10000,150,45.82854848462299,ok,0.8272942002608522,0.5878731879806268,0.4283762276172638,
low_y_side__quarter_4__config_10,low_y_side,quarter_4,10,individual_profile_like,100,10000,150,48.02605453328634,ok,0.6569117184428116,0.8554414685968192,0.529401271045208,
perimeter__full_game__config_00,perimeter,full_game,0,baseline,100,1000,200,13.479544475002438,ok,0.8210076584093722,0.6156181722618941,0.334757462143898,
perimeter__quarter_1__config_00,perimeter,quarter_1,0,baseline,100,1000,200,15.930210769464477,ok,0.6201374904110458,0.9396412488025885,0.31161488592624664,
perimeter__quarter_2__config_00,perimeter,quarter_2,0,baseline,100,1000,200,12.53042831810496,ok,0.8203516475783219,0.6018047153354883,0.28679358959197987,
perimeter__quarter_3__config_00,perimeter,quarter_3,0,baseline,100,1000,200,14.00323988238592,ok,0.6889680082079459,0.8225532138292118,0.18383824843913296,
perimeter__quarter_4__config_00,perimeter,quarter_4,0,baseline,100,1000,200,14.124567159436912,ok,0.8646578946310907,0.5251149446162173,0.39509534835815424,
perimeter__full_game__config_01,perimeter,full_game,1,one_factor_sweep,10,1000,200,16.67412261173754,ok,0.8533420113059811,0.5468302508101988,0.29163169860839844,
perimeter__quarter_1__config_01,perimeter,quarter_1,1,one_factor_sweep,10,1000,200,15.221177553357778,ok,0.777355025376264,0.6796158058109122,0.3768829107284546,
perimeter__quarter_2__config_01,perimeter,quarter_2,1,one_factor_sweep,10,1000,200,13.915701773931398,ok,0.8503963989649019,0.5524330242988043,0.43260693550109863,
perimeter__quarter_3__config_01,perimeter,quarter_3,1,one_factor_sweep,10,1000,200,12.222114142503203,ok,0.7011690220502458,0.7777859748071565,0.31714002788066864,
perimeter__quarter_4__config_01,perimeter,quarter_4,1,one_factor_sweep,10,1000,200,14.739460859387876,ok,0.8439233430192601,0.5604972994857516,0.41174642741680145,
perimeter__full_game__config_02,perimeter,full_game,2,one_factor_sweep,50,1000,200,13.906429069430128,ok,0.7458053353759907,0.7438161682259079,0.2966732382774353,
